Date;Benceno;CO;CO 8h;Etilbenceno;NO;NO2;NOX;Ortoxileno;PM10;PM2,5;SO2;Tolueno
20/03/2022;0,36;0,24;0,25;0,24;1;12;14;1,46;22;12;4;2,14
19/03/2022;0,44;0,16;0,14;0,37;2;23;27;2,07;30;15;4;2,84
18/03/2022;0,34;0,15;0,16;0,31;2;21;24;1,64;32;18;3;2,56
17/03/2022;0,2;0,16;0,16;0,1;1;11;12;0,76;17;9;3;
16/03/2022;0,23;0,2;0,2;0,38;2;17;20;2,08;69;21;4;
15/03/2022;;0,17;;;19;21;50;;150;37;3;
14/03/2022;;0,19;0,22;;24;32;69;;10;4;4;
13/03/2022;0,25;0,2;0,2;0,19;2;18;21;0,74;9;5;4;0,83
12/03/2022;0,25;0,18;0,19;0,13;3;20;24;0,57;8;5;5;0,88
11/03/2022;0,15;0,16;0,15;0,14;2;16;18;0,83;7;4;3;1,12
10/03/2022;0,11;0,22;0,23;0,15;4;24;29;0,85;8;5;4;1,54
09/03/2022;0,32;0,22;0,24;0,14;4;27;33;0,9;11;6;6;2,02
08/03/2022;0,3;0,24;0,22;0,11;4;30;35;0,62;11;6;4;1,32
07/03/2022;0,36;0,27;0,28;0,05;9;33;47;0,47;19;14;7;1,15
06/03/2022;0,19;0,22;0,2;0;2;25;27;0,14;8;6;4;0,56
05/03/2022;0,19;0,18;0,17;0,01;2;21;24;0,2;7;5;3;0,6
04/03/2022;0,13;0,15;0,15;0;1;14;16;0,09;11;5;3;0,43
03/03/2022;0,14;0,19;0,19;0,12;6;29;38;0,68;10;6;6;1,25
02/03/2022;0,17;0,26;0,29;0,15;3;29;33;0,83;14;9;5;1,42
01/03/2022;0,5;0,35;0,32;0,54;22;47;80;2,11;41;22;13;3,32
28/02/2022;0,45;0,28;0,27;1,54;19;41;69;6,37;31;16;11;2,72
27/02/2022;0,35;0,26;0,26;0,07;3;26;31;0,59;15;9;6;1,24
26/02/2022;0,59;0,29;0,28;0,27;10;38;52;1,2;25;14;8;1,92
25/02/2022;0,28;0,15;0,13;0,23;4;23;28;1,1;15;8;3;0,97
24/02/2022;0,54;0,28;0,32;0,55;21;37;68;2,33;26;14;7;3,12
23/02/2022;0,55;0,29;0,26;0,63;30;54;99;2,38;33;17;24;3,09
22/02/2022;0,48;0,2;0,19;0,32;15;40;63;1,33;31;15;14;3,02
21/02/2022;0,24;0,26;0,29;0,09;16;25;49;0,61;28;16;6;1,24
20/02/2022;0,4;0,32;0,3;0,15;13;41;61;0,78;16;11;11;1,27
19/02/2022;0,33;0,17;0,14;0,04;3;21;25;0,35;13;6;5;0,81
18/02/2022;0,49;0,24;0,25;0,42;29;34;77;1,75;22;12;8;2,73
17/02/2022;0,36;0,3;0,32;1,02;21;41;73;3,93;23;12;8;2,93
16/02/2022;0,27;0,27;0,26;0,48;6;38;47;1,82;14;7;8;1,5
15/02/2022;0,33;0,27;0,25;0,2;8;35;46;0,83;14;6;6;1,28
14/02/2022;0,22;0,22;0,21;0,11;5;22;29;0,61;7;4;4;0,88
13/02/2022;0,34;0,22;0,24;0,07;4;17;23;0,47;24;14;7;1,02
12/02/2022;0,56;0,29;0,28;0,26;17;34;60;1,06;29;20;9;1,81
11/02/2022;0,34;0,26;0,27;0,27;6;34;42;1,07;20;15;4;1,88
10/02/2022;0,49;0,3;0,3;0,58;19;51;79;2,1;34;20;9;2,93
09/02/2022;0,52;0,28;0,24;0,54;24;48;84;2,07;25;13;5;3,55
08/02/2022;0,47;0,26;0,27;0,57;14;35;56;2,31;23;16;6;3,73
07/02/2022;0,42;0,32;0,33;0,31;22;47;81;1,14;22;11;14;2,38
06/02/2022;0,49;0,27;0,27;0,11;11;37;52;0,58;22;14;13;1,38
05/02/2022;0,23;0,21;0,2;0,07;3;20;24;0,41;11;6;4;1,12
04/02/2022;0,55;0,33;0,35;0,52;28;50;91;1,95;24;15;11;3,08
03/02/2022;0,66;0,32;0,3;0,54;39;49;108;2,13;24;14;11;3,62
02/02/2022;0,73;0,31;0,31;0,58;36;46;101;2,51;21;13;10;4,58
01/02/2022;0,27;0,22;0,21;0,11;6;26;35;0,48;17;9;4;1,74
31/01/2022;0,26;0,25;0,27;0,03;7;20;30;0,28;8;4;5;1,32
30/01/2022;0,68;0,33;0,34;0,1;10;28;44;0,49;30;26;12;1,94
29/01/2022;0,44;0,27;0,24;0,16;6;30;39;0,66;28;23;9;2,5
28/01/2022;0,51;0,26;0,28;0,23;8;32;44;0,9;21;15;9;3,68
27/01/2022;0,75;0,33;0,33;0,53;31;33;81;1,87;28;20;10;6,89
26/01/2022;0,73;0,39;0,4;1,64;37;49;105;2,93;29;19;11;8,72
25/01/2022;0,66;0,35;0,35;0,8;26;51;91;3,12;25;15;10;2,4
24/01/2022;0,54;0,31;0,29;0,28;22;46;80;1,13;25;14;10;2,04
23/01/2022;0,56;0,3;0,31;0,15;10;36;51;0,68;22;16;11;1,06
22/01/2022;0,35;0,22;0,19;0,08;7;25;36;0,43;16;10;6;0,75
21/01/2022;;0,19;0,2;;3;16;20;;10;6;3;
20/01/2022;0,59;0,32;0,34;0,43;29;43;87;1,51;18;13;10;2,59
19/01/2022;0,73;0,36;0,35;0,59;47;46;118;2,26;33;22;14;3,02
18/01/2022;0,64;0,33;0,32;0,29;29;40;84;1,16;30;21;14;1,91
17/01/2022;0,66;0,37;0,39;0,32;30;39;84;1,21;28;19;14;1,81
16/01/2022;0,77;0,35;0,34;0,23;19;45;73;1;23;15;15;1,56
15/01/2022;0,64;0,3;0,29;0,3;18;46;72;1,18;22;15;15;1,79
14/01/2022;0,68;0,27;0,25;0,47;23;49;83;1,84;20;13;14;2,81
13/01/2022;0,59;0,18;0,16;0,39;23;44;79;1,45;20;13;9;2,27
12/01/2022;0,45;0,18;0,18;0,32;13;35;54;1,18;19;13;4;1,84
11/01/2022;0,08;0,18;0,19;0,08;3;23;27;0,37;9;4;3;0,66
10/01/2022;0,03;0,2;0,19;0;2;11;13;0,1;5;3;4;0,27
09/01/2022;0,17;0,26;0,26;0,06;2;17;20;0,36;7;5;5;0,58
08/01/2022;0,22;0,18;0,18;0,03;5;21;29;0,32;6;4;4;0,62
07/01/2022;0,41;0,25;0,26;0,06;3;25;29;0,37;11;7;5;0,7
06/01/2022;0,47;0,21;0,21;0,19;6;28;37;0,75;10;7;4;1,12
05/01/2022;0,34;0,19;0,16;0,15;7;32;42;0,63;10;5;4;1,12
04/01/2022;0,08;0,16;0,17;0,02;2;12;15;0,33;9;4;3;0,58
03/01/2022;0,29;0,2;0,21;0,21;10;24;40;0,89;11;6;4;1,45
02/01/2022;0,29;0,22;0,19;0,29;5;25;33;1,26;14;8;3;1,86
01/01/2022;0,16;0,14;0,14;0,25;2;14;17;1,2;12;5;4;1,8
